,texts,my_labels,predicted,prediction_class,clean_texts
60,"Great initiative!

Kids need books at home to supplement literacy practices. 

They also need reading mentors. 
@scholastic @variety @abbottelemabc @quintab. 

We hope it's partnered with reading mentors, libraries, and literacy programs so students can grow in a culture of reading!

#weareherelit
#blackboysarelit #blackboyjoy #read #readingmatters #blackboysrock #blackparents #blackboysmatter #weneeddiversebooks #diversitymatters #blackteachersmatter #librariesofinstagram #kidslit #childrensliterature #teacher #teachersofinstagram #homeschool #blackhomeschoolers #parentteacherassociation
#blacklibrarians #bookstagram #edpolicy #edleaders #edresearchers #communityorganizations #nonprofitsofinstagram #nonprofits #literacy #literacymatters",positive,positive,positive-positive,Great initiative ! Kids need books at home to supplement literacy practices They also need reading mentors scholastic variety abbottelemabc quintab We hope it's partnered with reading mentors libraries and literacy programs so students can grow in a culture of reading ! weareherelit blackboysarelit blackboyjoy read readingmatters blackboysrock blackparents blackboysmatter weneeddiversebooks diversitymatters blackteachersmatter librariesofinstagram kidslit childrensliterature teacher teachersofinstagram homeschool blackhomeschoolers parentteacherassociation blacklibrarians bookstagram edpolicy edleaders edresearchers communityorganizations nonprofitsofinstagram nonprofits literacy literacymatters
61,"Reposted from @blackempowermentyyc 
*Described audio on first slide.

Hey yall!! BPU needs your help in securing a larger vehicle! We need it for groceries deliveries but also to roll out some other initiatives!! If yall have any idea how we could secure this automobile at a greatly discounted price or by donation please reach out to us!!

Thank you all for your continued support !!
Power to the people !

#collectivecare #mutualaid",positive,positive,positive-positive,Reposted from blackempowermentyyc *Described audio on first slide Hey yall ! ! BPU needs your help in securing a larger vehicle ! We need it for groceries deliveries but also to roll out some other initiatives ! ! If yall have any idea how we could secure this automobile at a greatly discounted price or by donation please reach out to us ! ! Thank you all for your continued support ! ! Power to the people ! collectivecare mutualaid
62,"- Thousands of Israelis protest against Netanyahu.
2021 © Gadi Rashkovan.
<U+05D0><U+05E0><U+05D7><U+05E0><U+05D5> <U+05D4><U+05EA><U+05E7><U+05D5><U+05D5><U+05D4>
-
-
#goodvibes #documentaryphotography #protest #goodvibes #demonstration #resist #pinkfront #pinkflag #Netanyahu #BIBI #corporateidentety #branding #crimeminister #mehazkim
#<U+05DE><U+05D7><U+05D0><U+05D4> #<U+05E6><U+05D5><U+05DC><U+05DC><U+05D5><U+05EA> #<U+05E0><U+05EA><U+05E0><U+05D9><U+05D4><U+05D5> #<U+05DC><U+05DA> #<U+05D1><U+05D9><U+05D1><U+05D9> #<U+05D1><U+05D9><U+05D1><U+05D9><U+05D4><U+05D1><U+05D9><U+05EA><U+05D4> #<U+05E9><U+05D7><U+05D9><U+05EA><U+05D5><U+05EA> #<U+05DE><U+05D5><U+05E9><U+05D7><U+05EA><U+05D9><U+05DD><U+05E0><U+05DE><U+05D0><U+05E1><U+05EA><U+05DD> #<U+05D3><U+05D2><U+05DC><U+05D9><U+05DD><U+05E9><U+05D7><U+05D5><U+05E8><U+05D9><U+05DD> #<U+05D0><U+05D9><U+05DF><U+05DE><U+05E6><U+05D1> #<U+05D1><U+05DC><U+05E4><U+05D5><U+05E8>",positive,negative,positive-negative,Thousands of Israelis protest against Netanyahu 2021 © Gadi Rashkovan U+05D0 U+05E0 U+05D7 U+05E0 U+05D5 U+05D4 U+05EA U+05E7 U+05D5 U+05D5 U+05D4  goodvibes documentaryphotography protest goodvibes demonstration resist pinkfront pinkflag Netanyahu BIBI corporateidentety branding crimeminister mehazkim U+05DE U+05D7 U+05D0 U+05D4 U+05E6 U+05D5 U+05DC U+05DC U+05D5 U+05EA U+05E0 U+05EA U+05E0 U+05D9 U+05D4 U+05D5 U+05DC U+05DA U+05D1 U+05D9 U+05D1 U+05D9 U+05D1 U+05D9 U+05D1 U+05D9 U+05D4 U+05D1 U+05D9 U+05EA U+05D4 U+05E9 U+05D7 U+05D9 U+05EA U+05D5 U+05EA U+05DE U+05D5 U+05E9 U+05D7 U+05EA U+05D9 U+05DD U+05E0 U+05DE U+05D0 U+05E1 U+05EA U+05DD U+05D3 U+05D2 U+05DC U+05D9 U+05DD U+05E9 U+05D7 U+05D5 U+05E8 U+05D9 U+05DD U+05D0 U+05D9 U+05DF U+05DE U+05E6 U+05D1 U+05D1 U+05DC U+05E4 U+05D5 U+05E8
63,"Delicious rockfish Tartare and a perfectly crafted Manhattan with Filibuster Dual-Cask Rye
@thesaltline Ballston
.
.
.
.
.
#rye #ryewhiskey #dualcask #dualcask #filibusterdistillery #filibuster #whiskeygram #whiskeylovers #whiskey #Ballston #drinklocal",positive,positive,positive-positive,Delicious rockfish Tartare and a perfectly crafted Manhattan with Filibuster Dual Cask Rye thesaltline Ballston  rye ryewhiskey dualcask dualcask filibusterdistillery filibuster whiskeygram whiskeylovers whiskey Ballston drinklocal
64,"Congratulations to our #Marsiling grassroots leader, Kenny Chua PBM, who received the National Day Public Service Award from President Halimah Yacob last weekend.

Compassionate and kind-hearted, Kenny has been an excellent role model to our Marsiling residents and friends. He has been serving since 2013, and was Marsiling Zone 4 RN Chairman appointed in 2016. He has led by example to guide RN members to provide care for residents, conduct house visits, and help create a vibrant social environment through various activities and courses.

Under his leadership, members are motivated to serve the community with passion. He has pleasant and easy-going character, which helps build meaningful connections with residents. Residents are often at ease in approaching him whenever they require assistance, knowing that they can rely on the grassroots to go the extra mile to assist them. 

Kenny is truly a dedicated grassroots leader who has devoted much of his available time to the community, and we are greatly appreciative of his efforts. 

Once again, thank you for your dedication to Zone 4 RN and Marsiling community.

#marsiling #grassroots #congratulations #achievement #welldeserved #achievementaward #awardwinners #motivational #team #motivation",positive,positive,positive-positive,Congratulations to our Marsiling grassroots leader Kenny Chua PBM who received the National Day Public Service Award from President Halimah Yacob last weekend Compassionate and kind hearted Kenny has been an excellent role model to our Marsiling residents and friends He has been serving since 2013 and was Marsiling Zone 4 RN Chairman appointed in 2016 He has led by example to guide RN members to provide care for residents conduct house visits and help create a vibrant social environment through various activities and courses Under his leadership members are motivated to serve the community with passion He has pleasant and easy going character which helps build meaningful connections with residents Residents are often at ease in approaching him whenever they require assistance knowing that they can rely on the grassroots to go the extra mile to assist them Kenny is truly a dedicated grassroots leader who has devoted much of his available time to the community and we are greatly appreciative of his efforts Once again thank you for your dedication to Zone 4 RN and Marsiling community marsiling grassroots congratulations achievement welldeserved achievementaward awardwinners motivational team motivation
65,"We are excited to roll our  paint kits for Ramadan. 8x10 canvas comes wrapped and includes 6 paint colors, apron and paint brush! Perfect set for children or adults, create your own art while doing a fun activity! 
.
.
.
.
.
#artrageousbrushandflow #customorders #kidspaint #paintkits #communityorganization #philly #germantown #mtairy #localartist #smallbusiness #artisessential #Islamic #arabicpaint kits #kids #ramadan #kidactivity #eid",positive,positive,positive-positive,We are excited to roll our paint kits for Ramadan 8x10 canvas comes wrapped and includes 6 paint colors apron and paint brush ! Perfect set for children or adults create your own art while doing a fun activity !   artrageousbrushandflow customorders kidspaint paintkits communityorganization philly germantown mtairy localartist smallbusiness artisessential Islamic arabicpaint kits kids ramadan kidactivity eid
66,"Most Americans probably don't know a lot about a rule in the U.S. Senate known as the ""filibuster,"" but they should. Why? As was made painfully clear during FRC's Pray Vote Stand broadcast last night, the filibuster is the only thing standing in the way of America ceasing to be the free country that we know and love due to the disturbing policies that the extreme Left wants to force through the Senate and impose on all Americans without compromise.<U+2060>
<U+2060>
In a country that is politically split down the middle, collaboration and dialogue is what we need more of, not less of. Even so, more and more politicians on the Left are hypocritically calling for an end to the filibuster now that they have the slimmest possible majority in the Senate, even though the Left has been using the filibuster to their advantage for over 200 years whenever they weren't in the majority.<U+2060>
<U+2060>
It used to be that the Senate required an even higher bar to pass legislation—a two-thirds majority to end debate, instead of the 60 votes they changed it to in 1975. Now, instead of working to find middle ground, Democrats want to blow up the entire system and let a simple majority rule. But that's not what the founders intended. They wanted conversation, give-and-take, and cooperation. And if unity is what Joe Biden's party actually wants, then silencing the minority party is hardly the best way to go about it.<U+2060>
<U+2060>
Wednesday, one of the moderate Democrats holding the line on the filibuster, Senator Kyrsten Sinema (D-Ariz.) told the Wall Street Journal, ""When you have a place that's broken and not working, and many would say that's the Senate today, I don't think the solution is to erode the rules. I think the solution is for senators to change their behavior and begin to work together, which is what the country wants us to do.""<U+2060>
<U+2060>
Continue reading at the link in bio.<U+2060>
<U+2060>
#PrayVoteStand #Senate #filibuster #pray #vote #standfirm #FRC #FamilyResearchCouncil",negative,negative,negative-negative,"Most Americans probably don't know a lot about a rule in the U S Senate known as the ""filibuster "" but they should Why? As was made painfully clear during FRC's Pray Vote Stand broadcast last night the filibuster is the only thing standing in the way of America ceasing to be the free country that we know and love due to the disturbing policies that the extreme Left wants to force through the Senate and impose on all Americans without compromise U+2060 U+2060 In a country that is politically split down the middle collaboration and dialogue is what we need more of not less of Even so more and more politicians on the Left are hypocritically calling for an end to the filibuster now that they have the slimmest possible majority in the Senate even though the Left has been using the filibuster to their advantage for over 200 years whenever they weren't in the majority U+2060 U+2060 It used to be that the Senate required an even higher bar to pass legislation—a two thirds majority to end debate instead of the 60 votes they changed it to in 1975 Now instead of working to find middle ground Democrats want to blow up the entire system and let a simple majority rule But that's not what the founders intended They wanted conversation give and take and cooperation And if unity is what Joe Biden's party actually wants then silencing the minority party is hardly the best way to go about it U+2060 U+2060 Wednesday one of the moderate Democrats holding the line on the filibuster Senator Kyrsten Sinema (D Ariz ) told the Wall Street Journal ""When you have a place that's broken and not working and many would say that's the Senate today I don't think the solution is to erode the rules I think the solution is for senators to change their behavior and begin to work together which is what the country wants us to do "" U+2060 U+2060 Continue reading at the link in bio U+2060 U+2060 PrayVoteStand Senate filibuster pray vote standfirm FRC FamilyResearchCouncil"
67,"Please join @freethehounds greyhound group for a peaceful protest outside Cannington Greyhounds for the Perth Cup 2021, the biggest night of racing on the WA racing calendar.
This protest will coincide with the tabling of over 10,000 signatures to WA Parliament calling for a ban on greyhound racing in WA. We salute Free the Hounds for this extraordinary achievement on behalf of racing greyhounds. #freethehounds #perth #westernaustralia #protest",positive,positive,positive-positive,Please join freethehounds greyhound group for a peaceful protest outside Cannington Greyhounds for the Perth Cup 2021 the biggest night of racing on the WA racing calendar This protest will coincide with the tabling of over 10 000 signatures to WA Parliament calling for a ban on greyhound racing in WA We salute Free the Hounds for this extraordinary achievement on behalf of racing greyhounds freethehounds perth westernaustralia protest
68,"<U+FEFF>
<U+FEFF>
ESP<U+88FD> <U+521D><U+97F3><U+30DF><U+30AF><U+672C><U+4EBA><U+4F7F><U+7528><U+30AE><U+30BF><U+30FC><U+304C><U+FEFF>
<U+672C><U+65E5>4/10<U+301C>4/18<U+307E><U+3067>U-ONE MUSIC<U+306B><U+5C55><U+793A><U+3055><U+308C><U+3066><U+3044><U+307E><U+3059><U+0001F389><U+FEFF>
<U+FEFF>
<U+9593><U+8FD1><U+3067><U+898B><U+308C><U+308B><U+8CB4><U+91CD><U+306A><U+6A5F><U+4F1A><U+3067><U+3059>/<U+FF9F>(<U+0E51>°<U+53E3>°<U+0E51>)<U+FF9F>\<U+FEFF>
<U+3054><U+6765><U+5E97><U+304A><U+5F85><U+3061><U+3057><U+3066><U+304A><U+308A><U+307E><U+3059>!!!!!!!<U+FEFF>
<U+FEFF>
<U+203B><U+521D><U+97F3><U+30DF><U+30AF><U+672C><U+4EBA><U+5B9F><U+6A5F><U+306B><U+306F><U+30B1><U+30FC><U+30B9><U+542B><U+3081><U+3001><U+304A><U+624B><U+3092><U+89E6><U+308C><U+306C><U+3088><U+3046><U+304A><U+9858><U+3044><U+3044><U+305F><U+3057><U+307E><U+3059><U+FEFF>
<U+203B><U+300C><U+30DE><U+30B8><U+30AB><U+30EB><U+30DF><U+30E9><U+30A4>2020<U+300D><U+306E><U+6620><U+50CF><U+306F><U+64AE><U+5F71><U+7981><U+6B62><U+3068><U+306A><U+3063><U+3066><U+304A><U+308A><U+307E><U+3059><U+FEFF>
<U+FEFF>
<U+FEFF>
GrassRoots<U+88FD> <U+521D><U+97F3><U+30DF><U+30AF><U+30E2><U+30C7><U+30EB><U+306F><U+4E88><U+7D04><U+53D7><U+4ED8><U+4E2D><U+3067><U+3059>!<U+FEFF>
<U+5B9A><U+4FA1> ¥85,800(<U+7A0E><U+8FBC>)<U+FEFF>
<U+2193><U+FEFF>
<U+30E6><U+30FC><U+30EF><U+30F3><U+8CA9><U+58F2><U+4FA1><U+683C> ¥68,640(<U+7A0E><U+8FBC>)<U+FEFF>
<U+FEFF>
<U+7D0D><U+671F> 8<U+6708><U+4EE5><U+964D><U+4E88><U+5B9A><U+0001F31E><U+FEFF>
<U+3054><U+4E88><U+7D04><U+306F><U+304A><U+65E9><U+3081><U+306B>!<U+FEFF>
<U+FEFF>
<U+FEFF>
<U+3054><U+6765><U+5E97><U+306E><U+304A><U+5BA2><U+3055><U+307E><U+3078><U+FEFF>
<U+25FB><U+FE0E><U+30DE><U+30B9><U+30AF><U+7740><U+7528><U+306B><U+3054><U+5354><U+529B><U+304F><U+3060><U+3055><U+3044><U+FEFF>
<U+25FB><U+FE0E><U+767A><U+71B1><U+3084><U+4F53><U+8ABF><U+304C><U+60AA><U+3044><U+304B><U+305F><U+306E><U+6765><U+5E97><U+306F><U+3054><U+9060><U+616E><U+304F><U+3060><U+3055><U+3044><U+FEFF>
<U+25FB><U+FE0E><U+624B><U+6307><U+306E><U+6D88><U+6BD2><U+306B><U+3054><U+5354><U+529B><U+304F><U+3060><U+3055><U+3044>(<U+51FA><U+5165><U+53E3><U+306B><U+6D88><U+6BD2><U+6DB2><U+3092><U+8A2D><U+3051><U+3066><U+304A><U+308A><U+307E><U+3059>)<U+FEFF>
<U+611F><U+67D3><U+5BFE><U+7B56><U+3092><U+884C><U+3044><U+306A><U+304C><U+3089><U+55B6><U+696D><U+3057><U+3066><U+304A><U+308A><U+307E><U+3059><U+3002><U+304A><U+5BA2><U+3055><U+307E><U+306B><U+306F><U+304A><U+624B><U+6570><U+304A><U+304B><U+3051><U+3057><U+307E><U+3059><U+304C><U+3001><U+4F55><U+5352><U+3054><U+7406><U+89E3><U+3054><U+5354><U+529B><U+3092><U+304A><U+9858><U+3044><U+3044><U+305F><U+3057><U+307E><U+3059><U+3002><U+FEFF>
<U+FEFF>
<U+FEFF>
<U+FEFF>
#ESP #GrassRoots #<U+521D><U+97F3><U+30DF><U+30AF> #<U+30AE><U+30BF><U+30FC> #<U+798F><U+5CF6><U+5E02>",neutral,neutral,neutral-neutral,U+FEFF U+FEFF ESP U+88FD U+521D U+97F3 U+30DF U+30AF U+672C U+4EBA U+4F7F U+7528 U+30AE U+30BF U+30FC U+304C U+FEFF U+672C U+65E5 4 10 U+301C 4 18 U+307E U+3067 U ONE MUSIC U+306B U+5C55 U+793A U+3055 U+308C U+3066 U+3044 U+307E U+3059 U+0001F389 U+FEFF U+FEFF U+9593 U+8FD1 U+3067 U+898B U+308C U+308B U+8CB4 U+91CD U+306A U+6A5F U+4F1A U+3067 U+3059 U+FF9F ( U+0E51 ° U+53E3 ° U+0E51 ) U+FF9F \ U+FEFF U+3054 U+6765 U+5E97 U+304A U+5F85 U+3061 U+3057 U+3066 U+304A U+308A U+307E U+3059 ! ! ! ! ! ! ! U+FEFF U+FEFF U+203B U+521D U+97F3 U+30DF U+30AF U+672C U+4EBA U+5B9F U+6A5F U+306B U+306F U+30B1 U+30FC U+30B9 U+542B U+3081 U+3001 U+304A U+624B U+3092 U+89E6 U+308C U+306C U+3088 U+3046 U+304A U+9858 U+3044 U+3044 U+305F U+3057 U+307E U+3059 U+FEFF U+203B U+300C U+30DE U+30B8 U+30AB U+30EB U+30DF U+30E9 U+30A4 2020 U+300D U+306E U+6620 U+50CF U+306F U+64AE U+5F71 U+7981 U+6B62 U+3068 U+306A U+3063 U+3066 U+304A U+308A U+307E U+3059 U+FEFF U+FEFF U+FEFF GrassRoots U+88FD U+521D U+97F3 U+30DF U+30AF U+30E2 U+30C7 U+30EB U+306F U+4E88 U+7D04 U+53D7 U+4ED8 U+4E2D U+3067 U+3059 ! U+FEFF U+5B9A U+4FA1 ¥85 800( U+7A0E U+8FBC ) U+FEFF U+2193 U+FEFF U+30E6 U+30FC U+30EF U+30F3 U+8CA9 U+58F2 U+4FA1 U+683C ¥68 640( U+7A0E U+8FBC ) U+FEFF U+FEFF U+7D0D U+671F 8 U+6708 U+4EE5 U+964D U+4E88 U+5B9A U+0001F31E U+FEFF U+3054 U+4E88 U+7D04 U+306F U+304A U+65E9 U+3081 U+306B ! U+FEFF U+FEFF U+FEFF U+3054 U+6765 U+5E97 U+306E U+304A U+5BA2 U+3055 U+307E U+3078 U+FEFF U+25FB U+FE0E U+30DE U+30B9 U+30AF U+7740 U+7528 U+306B U+3054 U+5354 U+529B U+304F U+3060 U+3055 U+3044 U+FEFF U+25FB U+FE0E U+767A U+71B1 U+3084 U+4F53 U+8ABF U+304C U+60AA U+3044 U+304B U+305F U+306E U+6765 U+5E97 U+306F U+3054 U+9060 U+616E U+304F U+3060 U+3055 U+3044 U+FEFF U+25FB U+FE0E U+624B U+6307 U+306E U+6D88 U+6BD2 U+306B U+3054 U+5354 U+529B U+304F U+3060 U+3055 U+3044 ( U+51FA U+5165 U+53E3 U+306B U+6D88 U+6BD2 U+6DB2 U+3092 U+8A2D U+3051 U+3066 U+304A U+308A U+307E U+3059 ) U+FEFF U+611F U+67D3 U+5BFE U+7B56 U+3092 U+884C U+3044 U+306A U+304C U+3089 U+55B6 U+696D U+3057 U+3066 U+304A U+308A U+307E U+3059 U+3002 U+304A U+5BA2 U+3055 U+307E U+306B U+306F U+304A U+624B U+6570 U+304A U+304B U+3051 U+3057 U+307E U+3059 U+304C U+3001 U+4F55 U+5352 U+3054 U+7406 U+89E3 U+3054 U+5354 U+529B U+3092 U+304A U+9858 U+3044 U+3044 U+305F U+3057 U+307E U+3059 U+3002 U+FEFF U+FEFF U+FEFF U+FEFF ESP GrassRoots U+521D U+97F3 U+30DF U+30AF U+30AE U+30BF U+30FC U+798F U+5CF6 U+5E02
69,@viipra_mmarwaha_longani #businessnews #daily #day254 #newupdate #positivenews #farmers #protest #ncr #property #residential #mcdonalds #mumbai #lg #profit #highest #business #money #enterpreneur #newsoftheday #spreadpositivity #postivityiskey #keytosuccess #successmantra #growth #proudmoment #ipl #2021 #backontrack #revival #newhopes,positive,neutral,positive-neutral,viipra mmarwaha longani businessnews daily day254 newupdate positivenews farmers protest ncr property residential mcdonalds mumbai lg profit highest business money enterpreneur newsoftheday spreadpositivity postivityiskey keytosuccess successmantra growth proudmoment ipl 2021 backontrack revival newhopes
70,"April is here. Are you prepared for the start of this new time? Having your goals and tasks in order will help to keep you on track and focused on doing the things you need to work on your goals. 

#helloapril #newmonth #nonprofitorganization #fridaythoughts  #leadershipdevelopment #communityorganization #empoweringothers #leadershipprogram #serveothers",positive,positive,positive-positive,April is here Are you prepared for the start of this new time? Having your goals and tasks in order will help to keep you on track and focused on doing the things you need to work on your goals  helloapril newmonth nonprofitorganization fridaythoughts leadershipdevelopment communityorganization empoweringothers leadershipprogram serveothers
71,"Why doesn’t Congress get anything done?
#Congress #filibuster #priorities",negative,neutral,negative-neutral,Why doesn’t Congress get anything done? Congress filibuster priorities
72,"Save the date! 
•••••••••••••••
 #nonprofits #atlnonprofit #atlnonprofits #atlantanonprofit #atlantanonprofits #nonprofitorganization #nonprofitorganizations #communityorganization #blacknonprofit #communityorganizations #blacknonprofits  #nonprofitsofinstagram #nonprofitsrock #nonprofitlife  #nonprofitfundraising #doula #doulas #doulalife #blackdoula #blackdoulas #blackdoulasmatter #blackmamasmatter #blackatldoula #blackatldoulas #blackatlantadoula #blackatlantadoulas #atlantadoula #atlantadoulas #birthsupport",positive,positive,positive-positive,Save the date ! ••••••••••••••• nonprofits atlnonprofit atlnonprofits atlantanonprofit atlantanonprofits nonprofitorganization nonprofitorganizations communityorganization blacknonprofit communityorganizations blacknonprofits nonprofitsofinstagram nonprofitsrock nonprofitlife nonprofitfundraising doula doulas doulalife blackdoula blackdoulas blackdoulasmatter blackmamasmatter blackatldoula blackatldoulas blackatlantadoula blackatlantadoulas atlantadoula atlantadoulas birthsupport
73,"Studio Pottery for Seniors Wednesday mornings 11:00 AM - 1:00 PM join us!  Explore your creative side and have a morning out with friends as we sculpt in clay using hand-building/ slab techniques! 

Create a vase, pot and many other functional pieces. No experience necessary...the main objective is to have fun! 

Studio Pottery is great for group workshops and community organizations. Two-hours of studio time, materials and supplies.

SOMA/South Orange Senior Classic Card holders are welcomed!

Interested in hosting a private session in our studio or offsite for your seniors' group, center or organization? Call to inquire 973-763-5256.

To enroll in this workshop please register at least 2-days prior. https://www.expressyourselfstudiosllc.com/store/p2423/Senior_Studio_Pottery_Workshop_-_Wednesday%2C_March_9%2C_2022.html

.
.
.
.

.
.
.
.

.
.
.
.

#activeseniors #seniorshavingfun #activeadultcommunities #pottery #adultartclasses #workshopsforseniors #clay #playwithclay #communities",positive,positive,positive-positive,Studio Pottery for Seniors Wednesday mornings 11 00 AM 1 00 PM join us ! Explore your creative side and have a morning out with friends as we sculpt in clay using hand building slab techniques !  Create a vase pot and many other functional pieces No experience necessary the main objective is to have fun !  Studio Pottery is great for group workshops and community organizations Two hours of studio time  materials and supplies SOMA South Orange Senior Classic Card holders are welcomed ! Interested in hosting a private session in our studio or offsite for your seniors' group center or organization? Call to inquire 973 763 5256 To enroll in this workshop please register at least 2 days prior  https www expressyourselfstudiosllc com store p2423 Senior Studio Pottery Workshop Wednesday%2C March 9%2C 2022 html     activeseniors seniorshavingfun activeadultcommunities pottery adultartclasses workshopsforseniors clay playwithclay communities
74,"My mom bought this album when I was 6 years old, I was a die hard fan ever since ! RIP The hardest they ever did it @dmx #DMX #music #memes #conspiracy #marijuana #blm #vegan #explorepage #beauty #style #fashion #comics #gaming #truth #protest #justice #media #entertainment #money #love #fitness #motivation #knowledge  #history #reels #comedy #theshaderoom",positive,neutral,positive-neutral,My mom bought this album when I was 6 years old I was a die hard fan ever since ! RIP The hardest they ever did it dmx DMX music memes conspiracy marijuana blm vegan explorepage beauty style fashion comics gaming truth protest justice media entertainment money love fitness motivation knowledge history reels comedy theshaderoom
75,"Sometimes you have to cast your net wide and hope for the best. 

That's the energy I've been going with lately, and it hasn't been too bad. 

My name is Muriel Foster. I like to call myself the non-conventional nonprofit influencer/consultant because why would you want to be conventional when providing resources to your community.<U+0001F642>

I'm here to help you develop your community organization anyway that I can. 

Let’s grow together <U+0001F331>
.
.
.

#blogger #houston #nonprofit #houstonblogger #nonprofitblogger #curlygirl #givingback #socialimpact #nonprofitorganizations #nonprofitsofinstagram #volunteering #4charity #communitysupport #socialenterprise #marketing #volunteer #education #charity #philanthropy #causes #fundraiser #giving #advocacy #npic #nonprofitindustrialcomplex #blacknonprofits #marketing #BIPOC #communityorganizations",positive,positive,positive-positive,Sometimes you have to cast your net wide and hope for the best   That's the energy I've been going with lately and it hasn't been too bad   My name is Muriel Foster I like to call myself the non conventional nonprofit influencer consultant because why would you want to be conventional when providing resources to your community U+0001F642 I'm here to help you develop your community organization anyway that I can Let’s grow together U+0001F331  blogger  houston  nonprofit houstonblogger  nonprofitblogger  curlygirl  givingback  socialimpact  nonprofitorganizations  nonprofitsofinstagram  volunteering  4charity  communitysupport  socialenterprise  marketing  volunteer  education  charity  philanthropy  causes  fundraiser  giving  advocacy  npic  nonprofitindustrialcomplex  blacknonprofits marketing BIPOC communityorganizations
76,"This thank you card is on page 10 of our Order of the Rainbow scrapbook, 2008.012. The Order of the Rainbow is an all-girls organization committed to community service that still exists today. Please consider making a donation to DCL for Colorado Gives Day. We thank you!<U+2060>
<U+2060>
<U+23F3> 1958-1962<U+2060>
archives.dcl.org/digital/collection/documents/id/111/rec/1<U+2060>
<U+2060>
<U+0001F308><U+0001F308><U+0001F308><U+0001F308><U+2060>
<U+2060>
#coloradogives, #supportlibraries, #supportarchives #scrapbooks #fromthearchives #douglascounty #philanthropy #communityorganizations #1950s #girlsclubs #communityservice #orderoftherainbow #masonicyouth",positive,positive,positive-positive,This thank you card is on page 10 of our Order of the Rainbow scrapbook 2008 012 The Order of the Rainbow is an all girls organization committed to community service that still exists today Please consider making a donation to DCL for Colorado Gives Day We thank you ! U+2060 U+2060 U+23F3 1958 1962 U+2060 archives dcl org digital collection documents id 111 rec 1 U+2060 U+2060 U+0001F308 U+0001F308 U+0001F308 U+0001F308 U+2060 U+2060 coloradogives supportlibraries supportarchives scrapbooks fromthearchives douglascounty philanthropy communityorganizations 1950s girlsclubs communityservice orderoftherainbow masonicyouth
77,"This was fact checked as ""false info"". The only thing false was she wasn't nominated to the Supreme Court.  But was still nominated to the US Court of appeals.  The truth is still that the democrats didn't want a black woman in office so they had fun filibustering <U+0001F937><U+0001F937><U+0001F937>

#Republicans #Democrats #fake #fakenews #usa<U+0001F1FA><U+0001F1F8> #biden #filibuster #government #taxationwithoutrepresentation #taxationistheft",negative,negative,negative-negative,"This was fact checked as ""false info"" The only thing false was she wasn't nominated to the Supreme Court But was still nominated to the US Court of appeals The truth is still that the democrats didn't want a black woman in office so they had fun filibustering U+0001F937 U+0001F937 U+0001F937 Republicans Democrats fake fakenews usa U+0001F1FA U+0001F1F8 biden filibuster government taxationwithoutrepresentation taxationistheft"
78,"Springtime has arrived. A new season can be a chance for new opportunities or to improve on existing goals. Embrace the season to be the best you and do the things to accomplish your aspirations. 

#TuesdayThoughts #spring2022 #springtime #newseason #goals #nonprofitorganizations  #leadershipdevelopment #communityorganization #empoweringothers",positive,positive,positive-positive,Springtime has arrived A new season can be a chance for new opportunities or to improve on existing goals Embrace the season to be the best you and do the things to accomplish your aspirations  TuesdayThoughts spring2022 springtime newseason goals nonprofitorganizations leadershipdevelopment communityorganization empoweringothers
79,"Happy #MembershipMonday! This week, we have @jcihonolulu Executive Vice President, Jenna Nakagawa, share where she sees herself in the future as a Jaycee.

Fun fact: Jenna plays bass and piano, and she loves Karaoke.
.
.
.
#JCIHawaii #JCIHI #JCIEmpowersMe #JCIUSA #JuniorChamberInternational #YoungProfessionals #ActiveCitizens #ServiceToHumanity #CommunityOrganization #CommunityService",positive,positive,positive-positive,Happy MembershipMonday ! This week we have jcihonolulu Executive Vice President Jenna Nakagawa share where she sees herself in the future as a Jaycee Fun fact Jenna plays bass and piano and she loves Karaoke  JCIHawaii JCIHI JCIEmpowersMe JCIUSA JuniorChamberInternational YoungProfessionals ActiveCitizens ServiceToHumanity CommunityOrganization CommunityService
80,"Imagine living in the US today, where the #1 source of domestic terrorism is far-right groups(per FBI!), books about slavery are getting banned, parents are criminalized for trans kids, yet asserting the 1st amendment is about protecting bigots from feeling embarrassed in public. @aoc 

#Alexandria  #Ocasio #president #vp #joebiden #kamalaharris #nancypelosi #chuckschumer #filibuster #democracynow #democrats #thedailyshow #votevets #veteran #votebluetosaveamerica #independentsforamerica #staceyabrams #lincolnproject #dnc #militaryblaze #strong_military #Putin",negative,negative,negative-negative,Imagine living in the US today where the 1 source of domestic terrorism is far right groups(per FBI !) books about slavery are getting banned parents are criminalized for trans kids yet asserting the 1st amendment is about protecting bigots from feeling embarrassed in public aoc Alexandria Ocasio president vp joebiden kamalaharris nancypelosi chuckschumer filibuster democracynow democrats thedailyshow votevets veteran votebluetosaveamerica independentsforamerica staceyabrams lincolnproject dnc militaryblaze strong military Putin
81,"Live from North Queen St as petrol bombs thrown 
#belfast #northernireland
#protests #policing #psni
#princephilip #brexit
#ireland #news",neutral,neutral,neutral-neutral,Live from North Queen St as petrol bombs thrown belfast northernireland protests policing psni princephilip brexit ireland news
