,description,sentiment,predicted
136,"<U+0001F97A> Do you want a supportive workspace while completing an important project or task for your organization? <U+2060>
<U+2060>
Then look no further!<U+2060>
<U+2060>
<U+0001F973> As we prepare to open the doors to the public for the Nonprofit Sistas Community, we wanted to you experience one of the many community events that will take part inside.<U+2060>
<U+2060>
If you are a nonprofit leader and you are seeking out a positive space to brainstorm and get ish done, then join our upcoming co-working sessions.<U+2060>
<U+2060>
<U+0001F5A5> You can click the link in the bio to save the community event to your calendar so you can join us!<U+2060>
<U+2060>
#leadershipdevelopment #communityleaders #blackwomenlead #communityorganization #coworkingcommunity",positive,negative
138,Our 1st “Walking One Stop” Of The Year Was Truly A Success. We Had Over 30 Volunteers From Various Organizations Who Made Contact With Over 100 Residents. #CommunityOrganizations #CommunityOutreach #OneGrove @mpdpolice @cpsaileenr @UmSRamos,positive,negative
139,"Thanks to National Indo-American Museum for their awesome event with Natya Dancers #NIAM #fortheculture #inclusionmatters #awareness 
#powerinchange 

To learn more about this or similar events visit the link in the bio. #BLACculture #buildingloveamongstcultures
#nonprofit #communityorganization",positive,neutral
140,"Today over 100 Arizona LGBTQ+ leaders, advocates, and national supporters issued an open letter calling on @humanrightscampaign to withdraw support from Kyrsten Sinema unless she reverses her position on the filibuster. 

With the recent attacks on LGBTQ+ rights across the country and Republicans in the Arizona Legislature attempting to jam through numerous anti-trans bills, the need to pass the Equality Act, creating federal protections for LGBTQ+ communities, is urgent. To do so, the filibuster rule must be abolished. It’s unacceptable to continue to give Senator Sinema any cover on her position—if she continues to support the filibuster, @humanrightscampaign should end their financial support of her. 

Click the link in our bio to read the open letter and the Politico exclusive. 
•
•
•
•
#filibuster #lgbt #lgbtq<U+0001F308> #arizona #politics #equalityact #gay #trans #transgender #nonbinary #lesbian #loveislove #arizonapolitics #az #vote #healthcare #progressive #azleg #lgbtqarizona #hrc #humanrightscampaign",negative,neutral
141,"Take a big breath and let it go! 
•••••••••••••••
 #nonprofits #nonprofitorganization #nonprofitorganizations #communityorganization #communityorganizations #blacknonprofits  #nonprofitsofinstagram #nonprofitsrock #nonprofitlife  #nonprofitfundraising",positive,negative
142,"Website development: One of the many services that KAME Consulting offers is website development. KAME Consulting can help you bring your vision to life. 

#educational #consultation #research
#leadership #vision #mission #mandates
#values #businessdevelopment
#individualcoaching #businessplans
#grantwriting #kameconsulting #businesstoronto #training #blackgirls
#planning #strategicplanning #smallbusiness #nonprofit #organizations #communitydevelopment #engagement
#support #womenempowerment #communityorganizations #bestpractices",positive,negative
143,"Effective data gathering is such an important tool for community organizations to have. 

Would your organization like more information on how to get started? We would love to work with you!

CLICK ON OUR PROFILE LINK TO CONTACT US

#data #effectivedata #healthresearch #communityorganizations #sprc #diversityinresearch #umassmed #umasschan",positive,negative
145,"Hey You! Stop doubting yourself. Maybe someone told you it's ""too late"" to do the things you want to do in your community. Or maybe, you feel too young and inexperienced. 

I believe your age should never stop you from doing what you want to do. 

The important thing to remember is that you don't have to do your work alone. If you're young and inexperienced, find more seasoned people who know more than you and have the access to what you need and put them on your team. If you're feeling like your time has passed, find people from newer generations with fresh perspectives. 

It's all about thinking strategically. A strategy will help you overcome limitations, barriers, and challenges. 

Contact me if you want to chat more about your strategic plan. 

#communityorganizations #communityimpact 
#nonprofits #nonprofit #communityimpact #givingback #philanthropy #socialimpact #strategic #strategy #strategicplanning",negative,positive
146,"Based new patches <U+0001F60E>
#airsoft #protest",positive,neutral
147,"Join us Friday, January 14, 2022 at 3:15 PM to learn more about applying for FY 2023 New York City Council Discretionary Funding from @kamillahmhanks Council Member-D49 Director of Budget & Legislation Paul Casali. 

Register Now: https://bit.ly/NYCityCouncilFundingInfoSession. 

A link to join the meeting will be sent afterwards.

The Application is officially open. You can apply for discretionary funding from now through Tuesday, February 22, 2020. 

The application is available here: https://council.nyc.gov/budget/fiscal-year-2023-discretionary-funding-expense-application-filing-period
.
.
#sinfpa #sicoad #statenisland #siny #nyc #newyork #newyorkcity #citycouncil #citycouncilmembers #kamillahhanks #budget #legislation #director #communityorganizations #funding #citydiscretionary #fy2023 #nonprofits",neutral,negative
148,"Help us help the community we love! 
The more we know and understand, the more we grow! 

Please go to the link in our bio to complete the survey! Thank you! 

#linkinbio #passaic #uponj #unitedpassaicorg #share #survey #needsassessment #helpushelpyou #sharewithafriend #communityuplift #selfsufficiency 
#passaicnj #communityaction #communityorganization #nonprofit #nonprofitsofinstagram",positive,neutral
149,"The #filibuster is undemocratic and has in recent years been used as a weapon by senators to block landmark pieces of legislation.

Congress MUST end the filibuster and fight for We the People.

Link in bio to add your name today!",negative,positive
152,"“We defend our freedom to live, to love, to sound.”
Ukrainian President Zelensky made a powerful speech to the audience at the Grammy Awards in Las Vegas. BBC News 

#Grammys #Zelensky #Ukraine #Russia #UkraineUnderAttack #UkraineRussia #president #vp #joebiden #StandWithUkriane #kamalaharris #nancypelosi #chuckschumer #filibuster #votevets #DNC #Grammy",positive,negative
154,"PLEASE POST. SAVE, SEND, AND SHARE. <U+0001F6A8><U+0001F6A8><U+0001F6A8><U+0001F6A8>PLEASE TURN ON POST NOTIFICATIONS LOVES. SAVE THIS POST!!! GIVE THE PERSON ABOVE IN THIS THREAD A COMPLIMENT? 5 WORDS OR MORE SO THIS POST IS SEEN) DON’T USE THE WORDS “B**ST”, “B**P”, OR “ALG**ITHIM”. 

FOLLOWER BROUGHT TO MY ATTENTION THAT DIFFERENT PAYMENT FORMS ARE TRYING TO STOP MUTUAL AID FROM BEING SENT. THIS IS NOT A SCAM. EACH INDIVIDUAL REALLY NEEDS YOUR HELP. 

WE DEPEND ON YOU GUYS FOR ENGAGEMENT AS THIS PLATFORM SUPPRESSES US. 

PLEASE, PLEASE COMMENT ON THIS POST AND DONATE. ANYTHING HELPS. EVERYTHING ADDS UP. 
PLEASE SHARE IF UNABLE! XX

#soladarity #mutualaid #mutualaidfunds #mutualaiddisasterrelief #mutualaidnetwork #mutualaidnotcharity #helpyourneighbor #donate #louisiana #neworleanslouisiana #helpeachother #donatetoday #donateplease #supportothers #mutualfunds #financialassistance #mutualaidla #donationswelcome #mutualfunds #blm #nojusticenopeace #womenofcolor #mutualaidnetwork #mutualaidfunds #blackownedbusiness #blackgirlmagic #blacklivesmatter #mutualaid",negative,positive
155,"Thank you for sharing <U+2728> @atillalgur

#lightlanguage #lightlanguageart #lightlanguagetransmissions #lightlanguageactivation #lightworker #lightcommunity #lightworkercommunity #lightcodes #channeling #ascension #intuitiveart #esotericart #occultart #esoterism #occultism #sigilmagick #sigils #glyphs #symbols #sacredsymbols #keepersofthecodes #magickcommunity #artistscommunity #communityorganization #global #globalart #globalove",positive,negative
156,"It could be as simple as holding a door for someone. Do something good! 
•••••••••••••••
 #nonprofits #nonprofitorganizations #communityorganization #communityorganizations  #nonprofitsofinstagram #nonprofitsrock #nonprofitlife  #nonprofitfundraising",positive,negative
158,"Black Girls Gather (A Book Club) is new WIBCA (@wibcamontrealnpo) program. It consists of a group of young Black women meeting bi-monthly to discuss readings done from a list of books that mainly features black female authors. The activities of the club include reading discussions, movie screenings, creative writing workshops, poetry readings, visits from special guests and art sessions all revolving around the books studied. The purpose of this project is to expose young girls to black literature and engage in discussions around themes such as coming of age, racism, discrimination, identity, feminism, love, family, friendship, etc. all while building a network of support, mentorship and sisterhood for girls coming from visible minority communities in Montreal.

#HeyBlackGirl #booklover #communityorganization #blackgirlswhoread #nonprofitorganization #canadianblackwomen",positive,neutral
163,"Canidae Collective is excited to share that we will be launching our summer survival care package program for our unsheltered communities this week! <U+2600><U+FE0F><U+0001F321><U+FE0F>

<U+0001F49C><U+0001F43A><U+0001F5A4><U+0001F43A><U+0001F49C><U+0001F43A><U+0001F5A4><U+0001F43A><U+0001F49C><U+0001F43A><U+0001F5A4>

#laredomutualaid #solidaritynotcharity #feminism #laredotexas #Laredo #ayudamutua #mutualaid #lgbtqia #leftism #feminismo #southtexas #mutualaidrequest #LaredoTX #communityaid #lgbtq #intersectionalfeminism",positive,neutral
165,"it’s time to recognize & celebrate the voices of social, forces for influence, the brands that do the extraordinary, the pulse of a new world.

ITS TIME FOR TRENDUPP AWARDS!
FOR AUDACIOUS ONES ONLY!! 

www.trenduppawards.com

#TrenduppAwards #TheForceofInfluence #Influencers #ContentCreators #Brands #Campaigns #SocialMovements #SocialCauses #Trending #TheForceIsHere #ForAudaciousOnesOnly",positive,negative
166,"A hotel in Poland has become a safe centre for Ukrainian children with cancer.

#Poland #Ukraine #Russia #BBCNews
#UkraineUnderAttack #UkraineRussia #president #vp #joebiden #StandWithUkriane #kamalaharris #nancypelosi #chuckschumer #filibuster #votevets #DNC",positive,negative
168,"March 21-27 is National Drug and Alcohol Facts week

@fastellmentoring will use the week of awareness to highlight how drugs and alcohol affect adolescents/teens early in life and throughout adulthood. 

Follow @fastellmentoring

#mentoring #mentorigmatters #mentoringmondays #behaviormanagement #blackgirlmagic #nonprofit #commuity #communityorganization #dallas #dallastexas #texas #explore #customwigs #fashion #beauty",negative,positive
169,"Hey Mr Fauci. Fancy telling us now that there's a risk that Covid vaccines can cause an Antibody Dependent Enhancement (ADE) which make the vaccinated person sicker when exposed to the wild virus.

Why didn't you explain this risk before you recommended that America and the world gets vaccinated?

Why recommend younger/healthier people and kids get vaccinated when the risk of hospitalisation and death amongst those cohorts is lower for Covid  than that for flu (CDC, 2020)?

Why are you the only ""expert"" the world is allowed to listen to and take advice from?

#fauci #covid1984 #plandemic #freedom #saynotothegreatreset #resist #protests #agenda21 #agenda2030 #NewWorldOrder #GreenNewDeal #globalists #vaccine #KlausSchwab #TheGreatReset #BuildBackBetter #medical #vax #billgates",negative,neutral
170,"<U+203C><U+FE0F>Update<U+203C><U+FE0F>
WCAT meetings now take place on the 2nd and 4th Mondays of each month. This week’s is our last meeting for the month of March, so we hope to see you there! 

Login options:
<U+25AB><U+FE0F>Click the link in our bio for the zoom link
<U+25AB><U+FE0F>Login with the meeting ID 8998481158
<U+25AB><U+FE0F>Call in at 253 214 8782

#whiteakerartists #wcat #wcc #oregonartists #eugeneartists #whiteakercommunitycouncil #communityorganization #supportlocalartists",positive,neutral
171,"One of our most colorful natives, Eastern Redbud (Cersis canadensis) is in bloom right now! The rosy pink blooms are practically dripping off its branches and in a couple of weeks, attractive heart shaped leaves will begin to appear. Moving towards Autumn, those same leaves will turn a beautiful shade of yellow.

The flower clusters are rich in nectar and pollen, providing a valuable food source for early bees at a time when food may be scarce. 
The trees act as host plants for several butterfly & moth larvae, and produces flat brown seed pods that squirrels and birds can enjoy. What a lovely species!

#volunteer #getoutside #getinvolved #community #communityorganization #takeaction #engagement #ugablooms #campuspollinators #savethebees #pollinator #pollination #pollinatorfriendly #bees #uga #easternredbud #native #nativeplants #besttree",positive,negative
172,"Work with an experienced wills and trusts attorney to help your family and your business be prepared for end-of-life decisions. 

Call (540) 692-9790 today to setup a free consultation or visit link in bio.

#glenlochlegal
#wills
#familyandbusinessplanning
#businessadvice
#communityorganizations
#winchesterva
#law",neutral,negative
174,"As @hillaryclinton said on Twitter: We can preserve the filibuster, or we can preserve the voting rights of people of color. But we can't do both.
•
#votingrights #filibuster #protectthevote #endthefilibuster #democraticreform #votingrightsact #forthepeopleact",positive,neutral
175,"For us, 2022 is a year of vision and possibilities!

""With vision, what matters most is not what you look at, but what you actually see"". Unknown

.
.
.
.
.
.
.
#quote #quoteoftheday #greatquote #vision # consultation #leadership #mission #mandates #values #businessdevelopment #businessplans #teamwork #teamwin #strategicplanning #blackgirls #planning #smallbusiness #businesstoronto #kameconsulting #training #blackgirls #organizations #communitydevelopment #womenempowerment #support #communityorganizations #facilitation",positive,neutral
177,"Together we can do so much more. We are so grateful to our partners at @nourishl.a ! Have you heard of them? Nourish LA was started during the COVID19 pandemic by Natalie Flores, a passionate gardener, advocate, and urban farmer who has recovered excess food from farms, community trees, gardens, and supermarkets, to make sure it is used to feed those in need.

#togetherwecandomore #communityorganizations #community #feedtheneedy #feedpeoplenotlandfills #redirectwaste #redistributefood #nourishla #lanonprofit #endfoodwaste",positive,negative
179,"We don't normally get political but this one we cant stay out of. The people of Myanmar need our help and desperately. A dictatorship military junta has seized their country and they cannot continue the fight alone. They are using improvised firearms and weapons to fight back an army with assault rifles. 

This military junta is killing innocent and peaceful protestors in the streets. To date over 500 people have been killed.

All proceeds go directly to revolutionary groups in Myanmar to fight the dictatorship coup that is killing hundreds of innocent families.

Help fight back directly!

All proceeds will go to funding;
Food.
Weapons.
Vehicles.
Housing.
Helping families escape to near by countries.

#myanmar #burma #freeburma #coup #junta #fuckthejunta #helpmyanmar #revolution #yangon #protests",negative,neutral
181,#feminism #streetart #graffiti #streetsofdublin #paint #art #protest #socialmovements #paintitpink,neutral,negative
183,#aamadmipartypunjab#aamadmiparty#aapyouthpunjab#aapfanclub#kisaanmajdoorektazindabaad#farmerprotest#protest#bandbharat#kisaanprotest#bjphousearrestskejriwal#bjp#bjp4india#narendermodi#bjppunjab#amitshah#indiancongress party,neutral,negative
184,"Happy Resurrection Day, Beautiful Souls! Rise up! 

#peoplesempowerment #afrofuturism #socialmovements #ubuntu #amadla #universal",positive,negative
187,"Mutual Aids and Sub/Micro-Grants are a great way to redistribute money within a community. Here are some tips to consider if you’re thinking of starting a mutual aid or sub grant <U+0001F4E2>

<U+25AA><U+FE0F>Decide how and where you will collect donations. Consider where your donor audience is, do they prefer venmo? Maybe PayPal? You may often want to collect on multiple donation platforms to maximize donation options. Don’t forget to consider the withdrawal and holding fees that might be associated with the various donation platforms.

<U+25AA><U+FE0F>Decide how you’ll disperse money. It can be a red flag <U+0001F6A9>to potential donors if it’s easy to donate but not easy to access the money you’ve raised. How will the community get the resources you’ve collected? Will there be an application process? If so, who’s eligible & who on your team will be reviewing the application? etc. Make sure this information is clear and PUBLIC!

<U+25AA><U+FE0F>Decide how you want to track $$. Keeping thorough records of incoming and outgoing dollars is so crucial to staying organized & identifying important community and fundraising trends. Consider sharing these numbers and figures publicly for transparency and community accountability

#nonprofitmanagement #nonprofittips #communityorganization #mutualaid #subgrant #microgrant #startinganonprofit",positive,negative
189,"#BREAKING: #NATO leaders met today in #Brussels — one month since the start of Russia’s unprovoked and unjustified invasion of Ukraine. We will continue to support #Ukraine with security assistance to fight #Russian aggression and uphold their right of self-defense. @potus 

 #UkraineUnderAttack #UkraineRussia #president #vp #joebiden #StandWithUkriane #kamalaharris #nancypelosi #chuckschumer #filibuster #votevets #DNC  #putin #Putinswar",positive,negative
190,"What do abolition and liberation mean in and for education?

Books:

Parker, Kimberly N. 2022. Literacy Is Liberation : Working Toward Justice through Culturally Relevant Teaching. Alexandria, Virginia: ASCD.

Education for Liberation Network & Critical Resistance Editorial. 2021. Lessons in Liberation : An Abolitionist Toolkit for Educators. Edited by Education for Liberation Network and Critical Resistance (Organization). Chico, CA: AK Press.

Kaba, Mariame, and Naomi Murakawa. 2021. We Do This 'Til We Free Us : Abolitionist Organizing and Transforming Justice. Edited by Tamara K Nopper. The Abolitionist Papers Series. Chicago, IL: Haymarket Books.

The book selection creates conversation about liberation and abolitionism, transforming systems, and what these themes look like in practice.

Use the following works for learning communities, professional development, bookclubs to advance educator and librarian practices.

#weareherelit
#blackboysarelit #blackboysread #blackboyjoy #read #readingmatters #blackboysrock #blackparents #blackboysmatter #weneeddiversebooks #diversitymatters #blackteachersmatter #booksofinstagram #librariesofinstagram #schoollibrarian #picturebook #kidslit #libération #abolirionist #teachersofinstagram #homeschool #blackhomeschoolers #professionaldevelopment #communitiesofpractice
#blacklibrarians #bookstagram #communityorganizations #literacyorganizations #afterschoolcare #liteacyadvocates",positive,neutral
192,"Mark your calendars! For the April #T3TenOnTen! On April 10, 2021 we’re firing up our monthly $10 on the 10th of the month fundraiser! On the 10th of each month, we want to invite you to partner with us in helping single mothers and fathers meet a need and helping BIPOC birthing persons receive doula services. Will you join us? 
••••••••••••••• 
#nonprofits #atlnonprofit #atlnonprofits #atlantanonprofit #atlantanonprofits #nonprofitorganization #nonprofitorganizations #communityorganization #blacknonprofit #communityorganizations #blacknonprofits  #nonprofitsofinstagram #nonprofitsrock #nonprofitlife  #nonprofitfundraising",positive,negative
193,"Yesterday was #givingtuesday . Did you give to a good cause or nah <U+0001F440>

When thinking about donating to nonprofits and community organizations, please think about the small organizations within your own community. Those are the organizations that are helping you, your neighbors, and your community the most. 

Also give even when it’s not GivingTueaday<U+0001F642>

#blogger #houston #nonprofit #houstonblogger #nonprofitblogger #curlygirl #givingback #socialimpact #nonprofitorganizations #nonprofitsofinstagram #volunteering #4charity #communitysupport #socialenterprise #marketing #volunteer #education #charity #philanthropy #causes #fundraiser #giving #advocacy #npic #nonprofitindustrialcomplex #blacknonprofits  #marketing  #BIPOC #communityorganizations  #givingtuesday",positive,neutral
194,"Happy Birthday to our founding father, Dr. Samuel <U+0001F382><U+0001F973><U+0001F389>

What was the Homeopathic remedy you used? 

Have you got your first aid home kit sorted? 

Did you know here at the NZ Homeopathic Society, we are the grassroots, one-stop shop for Homeopathic books for sale, and that anyone can join us? 

It's easy, head over to our website, join us and see what homeopathy books will be coming home with you!

www.homeopathy.ac.nz

#nzhs #saturday #specialpost #happybirthday #mr #samuel #hahnemann #legend #founder #father #homeopathy #joinus #membership #books #welovehomeopathy #welovebooks #booknerd #bookworm #grassroots #numberone #bookshop #newzealand",positive,neutral
196,"@agh4sea just dropped new policy that Andrew Grant Houston will implement as mayor. We’ll be talking through some of this policy, starting with this post on the proposed “office of the urban forest”. This post explains why Seattle would benefit from such an office that is dedicated to managing Seattle’s forestry. The points made in this post are just the tip of the iceberg- the topic of our environment is vast, and we are a city known for our nature.
Tomorrow we’ll have another post on the office of urban forestry, with more policy information. If you want to read the policy yourself, go to agh4sea.com

#seattlenature #evergreencity #seattletrees #landscaping #urbanforest #policy #youth4agh #agh4sea #wa #washington #washingtonstate #progressive #left #theleft #politics #mayor #campaign #grassroots #youthled #youth #youthrun #sunrisemovement #donate #seattle #pnw #usa #instagram #youthcampaign",positive,negative
197,"This is one of our unhoused neighbors we helped this week! He gave consent to have his picture taken and posted.

Thanks to your donations, we have bought our two unhoused neighbors a tent, a phone and a 30-day plan, a week’s worth of food, a week-long stay at a motel, and we’ve given them cash to buy their own things. It’s been a stressful week but we were able to help them find somewhere they feel safe. We’re so grateful for everyone’s support.

If you’d like to help them keep their cell plan, you can send mutual aid to our Venmo or Cashapp: TorranceForJustice

#torrance #torranceca #mutualaid #la #southbay",positive,neutral
200,"#MoscowMitch McConnell made it very clear that there will be no bipartisanship in the Senate. So stop with the specious arguments.

Opinion: Joe Manchin: I will not vote to eliminate or weaken the filibuster.
https://www.washingtonpost.com/opinions/joe-manchin-filibuster-vote/2021/04/07/cdbd53c6-97da-11eb-a6d0-13d207aadb78_story.html?outputType=amp

Voter: We Will Not Vote For Anyone Who Will Not Protect Voting Rights

#JoeManchin
@Sen_JoeManchin
#Filibuster
#Bipartisanship
#VotingRights
#Infrastructure
#VoterSuppression
#JohnLewis
#GoodTrouble
#PresidentBiden
#VoteBlue 
#VoteBlue2020",negative,neutral
201,"So I donated my poetry career to god and god told me to donate it to Instagram, I have my soul family. No algorithms for me, thanks. #jimmywoporip<U+0001F64F><U+0001F3FE> My friends never thought I was much anyway. Love you guys. I’m inversely popular here due to *sigh* you tell me? Instagram? #haveityourway",positive,negative
202,"Our biggest need at the Pantry right now is hygiene products, such as toddler diapers, toothpaste, and body wash. Shop our Amazon Wish List at bit.ly/WCPantry and stock our shelves with these much needed items!

#wilkinsoncenter #whywilkinson #whywilkinsoncenter #dallas  #uptowndallas #foodpantry #emergencyservices #donations #donationsneeded #dallastx #communityorganization #volunteer #donate #philanthropy #getinvolved #dallascharity #adulteducation #amazonwishlist",neutral,positive
203,"When you exercise, it's always recommended that you ""warm up"" first to avoid pulling a muscle and hurting yourself. 

In the same way, it's important to start your strategic planning ""exercise"", by warming up with community analysis and listening to your community's voice. This will help you develop a program that HELPS the community instead of causing more harm, or simply being ineffective altogether. 

Want to know more about how to conduct community research? Reach out to me and I'll be happy to assist. Contact link is in my bio. 

#givebacktothecommunity
#nonprofits
#nonprofitorganization
#givingback
#giveback
#socialimpact
#makeachange
#takeaction
#makeadifference
#blackcommunities
#empoweringcommunities
#blackleaders
#blackleadership
#blackleader
#activism
#powertochange
#powertothepeople
#takeactionnow
#makeaplan
#givebacktothecommunity
#helpinghand
#nonprofitleadership
#dogoodfeelgood
#communitysupport
#strategicplanning
#communityorganization",positive,neutral
205,"- PARANOIA Specialty Psychiatry, clinical psychology Symptoms Distrust, false accusations. Paranoia is an instinct or thought process which is believed to be heavily influenced by anxiety or fear, often to the point of delusion and irrationality. Paranoid thinking typically includes persecutory beliefs, or beliefs of conspiracy concerning a perceived threat towards oneself. Paranoia is distinct from phobias, which also involve irrational fear, but usually no blame.
-
Thousands of Israelis protest against Netanyahu.
2021 © Gadi Rashkovan.
-
-
#goodvibes #documentaryphotography #protest #Paranoia #demonstration #resist #pinkfront #pinkflag #Netanyahu #BIBI #corporateidentety #branding #crimeminister #mehazkim
#<U+05DE><U+05D7><U+05D0><U+05D4> #<U+05E6><U+05D5><U+05DC><U+05DC><U+05D5><U+05EA> #<U+05E0><U+05EA><U+05E0><U+05D9><U+05D4><U+05D5> #<U+05DC><U+05DA> #<U+05D1><U+05D9><U+05D1><U+05D9> #<U+05D1><U+05D9><U+05D1><U+05D9><U+05D4><U+05D1><U+05D9><U+05EA><U+05D4> #<U+05E9><U+05D7><U+05D9><U+05EA><U+05D5><U+05EA> #<U+05DE><U+05D5><U+05E9><U+05D7><U+05EA><U+05D9><U+05DD><U+05E0><U+05DE><U+05D0><U+05E1><U+05EA><U+05DD> #<U+05D3><U+05D2><U+05DC><U+05D9><U+05DD><U+05E9><U+05D7><U+05D5><U+05E8><U+05D9><U+05DD> #<U+05D0><U+05D9><U+05DF><U+05DE><U+05E6><U+05D1> #<U+05D1><U+05DC><U+05E4><U+05D5><U+05E8>",negative,positive
206,"8 shows 4 days over 4000 LAUSD Students… WHAT A WEEK!<U+0001F929>

A very special THANK YOU to the @blueribbonmcla and  @musiccenterla for having us this year! The hospitality was AMAZING and we had such beautiful and great time performing for all the Angeleno students<U+0001F64C><U+0001F3FD>

We hope to be back soon!<U+0001F64F><U+0001F3FD><U+2728>

Now we’re off to Portland, Oregon for @whitebirddance <U+0001F64C><U+0001F3FD><U+2665><U+FE0F><U+0001F525>

#VersaStyle #LosAngeles #Professional #DanceCompany #CommunityOrganization #HipHop #StreetDance",positive,neutral
207,"Orlando’s BEST Songwriter @terri_binion will be on the lil indies stage Sun. Mar. 13 for the Cosmic Conjunction Funktion. Ticket link is on our profile!
@meehle_and_jay @parkavecds @unitedarts_cf #Broussardcullenandblastic #community #womeninthearts #diversity #inclusion #localmusic #localmusic #localfood #communityorganizations #orlandoarts #orlandomusic",positive,negative
208,NBA and China. #truthtopower #protest#democracy,neutral,negative
209,#president #vp #joebiden #kamalaharris #nancypelosi #chuckschumer #filibuster #democracynow #democrats #thedailyshow #aclu #votevets #veteran #votebluetosaveamerica #independentsforamerica #staceyabrams #lincolnproject #dnc #militaryblaze #strong_military #BernieSanders,neutral,negative
210,"I support changing Senate rules to protect the full faith and credit of the United States from a handful of senators who don’t want to do what’s best for the country.

For those Hoosiers hoping @sentoddyoung will ever support doing the same…that’s gonna be a no. His comments on the filibuster: ""Now if you think our current political division is troubling, colleagues, torch the filibuster, foist your unpopular partisan priorities on all Americans and then check the health of our democracy. Pour gasoline on this raging fire. Don't be shocked by its sorry state after you do so,"" said Young.

Really? Cry me a river. 

@joebiden said it best: “The filibuster has been used to generate compromise in the past and promote bipartisanship.  But it’s also been used to obstruct…especially civil rights and voting rights. And when it was used, senators traditionally used to have to stand and speak at their desks for however long it took, and sometimes it took hours.  And when they sat down, if no one immediately stood up, anyone could call for a vote or the debate ended. But that doesn’t happen today. Senators no longer even have to speak one word. The filibuster is not used by Republicans to bring the Senate together but to pull it further apart. The filibuster has been weaponized and abused.” 

When this happens, we must have change! Help me send this senator from Indiana packing. Visit haneefahkhaaliq.org and support today! #hoosiersforhaneefah #filibuster #change",negative,positive
212,"Not quite an assembly line, however something very close! Packing and shipping art kits!  Want a stronger team? Team-building exercises are a great way to get your team to work better together.

Try an art workshop, Express Yourself Studios hosts private and corporate onsite, offsite and virtual events. Guided by one of our artists your group will paint a colorful painting, sculpt in clay or create a group mural.

Book your team event now https://www.expressyourselfstudiosllc.com/privatecorporate-events.html
.

.

.

#groups #schools #teambuilding #companies #communityorganizations #privateclasses #teambuildingideas #teambuildingactivity #teambuildingevent
#corporateeventplanner",positive,negative
216,"Miss our Can Do! Luncheon this year? There’s still time to donate and support our clients on the move to self-sufficiency. Give today at: bit.ly/GiftsofLove22

#wilkinsoncenter #whywilkinson #whywilkinsoncenter #dallas  #uptowndallas #foodpantry #emergencyservices #donations #donationsneeded #dallastx #communityorganization #volunteer #donate #philanthropy #getinvolved #dallascharity #adulteducation",neutral,positive
218,"For Mason Burley, 2021 board chair of Priority Spokane (@priorityspokane), the new year brings a new job and a change in his leadership role within our organization. Mason recently accepted a position as CEO for Urbanova www.urbanova.org, a data-driven organization focused on making mid-size cities like Spokane better places to live.

“I’m really interested in integrative data to solve problems in our area,” said Mason.

Urbanova collaborates with corporations and community organizations to create innovative solutions for education, public safety, energy, and other important issues.

As outgoing board chair of Priority Spokane, Mason knows it takes collaboration and community support to make a difference. 

During his year as board chair, he focused on listening to members and, along with other leaders, developing a plan to expand the number of Priority Spokane members from 25 to 35.

“We want to make sure we have a range of groups we haven’t reached before. Greater racial and ethnic diversity and grassroots organizations. And to ensure the membership fee isn’t a barrier to join,” said Mason.

As Priority Spokane transitions to the next leaders of our organization, Mason is looking forward to what they do next.

Congrats on the new job, Mason, and thank you for your time and dedication to Priority Spokane.

#Urbanova #NewJob #BecameCEO #PrioritySpokane #NonProfit #SpokaneCounty #SpokaneNonProfit #CreatingChange #ThrivingCommunity #Partnerships #Diversity #PublicSafety #Energy #EngagingCommunity #CharityOrganization #ProvidesTraining #BoardChair #NonProfitOrganization #ThankYouForYourTime  #ThankYouForYourOrganization #GrassrootsOrganizations #NextLeaders #CommunityNeeds #CommunityOrganizations #PlanningAndCommunication",positive,neutral
220,"Awesome time painting with the wonderful Team @risingtideorg, as a 2018 Community Business Academy graduate this was a full circle moment!

Looking for a unique team building exercise for your company or office?  Try an art workshop, Express Yourself Studios hosts private and corporate onsite, offsite and virtual events. 

Let us facilitate an art workshop for your group or organization. Guided by one of our artists your group will paint a colorful painting in acrylics, no experience necessary, the main objective is to de-stress and have fun. 

Book your team event now https://www.expressyourselfstudiosllc.com/privatecorporate-events.html
.

.

.

#groups #schools #teambuilding #companies #communityorganizations #privateclasses #teambuildingideas #teambuildingactivity #teambuildingevent
##officeparty #holiday2021 #holidaytime #expressyourselfstudios",positive,neutral
221,"Free Them All <U+26AB><U+FE0F>
.
.
.
.

#newafrikanindependencemovement 
#newafrikans
#newafrikanpeoplesliberationarmy 
#georgejackson 
#augustthirdcollective 
#augustthird 
#augustthirdnapla 
#newafrikancommunist
#newafrikanpoliticalprisoners 
#freeallpoliticalprisoners 
#politicalprisonersofwar
#communityorganizations 
#communityorganizing 
#communityorganizer 
#soledadbrothers 
#transformingthecriminalmindintoarevolutionarymind 
#turningcagesintouniversities 
#viralpage
#viralpages
#viralpost 
#explorepage 
#viralpost 
#newafrikanpoliticalprisoners 
#newafrikanprisonerofwar 
#freepoliticalprisonersandexiles 
#freepoliticalprisoners<U+0001F397> 
#politicalprisoner 
#politicalprisoners",positive,negative
